 pectoralis_major_clavicular_part_1 pectoralis_major_clavicular_part_2 pectoralis_major_clavicular_part_3 pectoralis_major_clavicular_part_4 pectoralis_major_clavicular_part_5 biceps_brachii_caput_breve biceps_brachii_caput_longum Triceps_LH_1 Triceps_LH_2 Triceps_ME_1 Triceps_ME_2 Triceps_LA_1 Triceps_LA_2 deltoideus_scapular_part_1 deltoideus_scapular_part_2 deltoideus_scapular_part_3 deltoideus_scapular_part_4 deltoideus_scapular_part_5 deltoideus_scapular_part_6 Brach_rad_1 Brach_rad_2
0 5.594909529385587e-15 6.205223164076973e-15 7.264363061283823e-15 8.959407370311008e-15 1.0166818471995052e-14 7.906299819529844e-15 8.536689529214723e-14 1.356614286311676e-14 7.139757971841542e-15 2.2011947149715837e-14 2.2479653621431238e-14 4.114970044665609e-14 4.1478533373328357e-14 3.6474158359666947e-14 0.07270383830609017 0.10371202939929229 0.1112706977095474 0.09647572952326021 0.052559866334968994 0.041494327911746426 0.031552477402016235
1 9.307867026635067e-15 1.0284918866342318e-14 1.2104417567170197e-14 1.5335574054816804e-14 1.7967520569884897e-14 1.5035646679326173e-14 0.009379735854608317 1.1733295439439812e-14 7.262778272186863e-15 2.2014234382941325e-14 2.248577718697913e-14 4.117722055758123e-14 4.1484769247129835e-14 3.4669629340856273e-14 0.05367412381129651 0.08683971257771618 0.0963992579000527 0.08861248158378364 0.062104923303366553 0.041096338945593794 0.03111697469732115
2 4.3455097691755174e-14 4.882189087558493e-14 5.907909340548497e-14 7.869321899085748e-14 9.431572670462522e-14 8.897146196940767e-14 0.02246569454838236 2.904162391682327e-14 1.9838705553850564e-14 5.6571441850956645e-14 5.779209681692537e-14 1.0587616323401657e-13 1.0661053551074831e-13 9.741634849430174e-14 0.03800254831320965 0.07486057350208597 0.08594449170398223 0.08343152475079613 0.06800860199673037 0.04165103765777335 0.03135169189401294
3 2.7823698525082913e-14 3.189651481293678e-14 4.021613754865065e-14 5.899865643931872e-14 7.474027484163164e-14 1.9149030234024652e-13 0.030037481499661477 9.992525185537185e-15 7.324679216493549e-15 1.822699086191132e-14 1.8620468969959096e-14 3.412782142932832e-14 3.4346090490290606e-14 3.767346523666494e-14 0.020590741351791186 0.06239279063678334 0.07441518158231161 0.07595886930436195 0.06822920011377043 0.04307965889202862 0.032328898967558674
4 6.418078139492713e-14 7.424480487235088e-14 9.557095765095932e-14 1.491158819899772e-13 1.9548857027275983e-13 0.004488895606550559 0.029719221170280998 1.888557880554334e-14 1.4058310811463519e-14 3.441814553656566e-14 3.516472386704569e-14 6.447905263182032e-14 6.485647549973109e-14 7.451482768713485e-14 0.014928673144297865 0.059193713505400446 0.07124836579748413 0.07379270323109077 0.06809086778865252 0.042730257873059646 0.032016424981665056
5 1.2056714349597308e-13 1.4085116174376246e-13 1.8563492131240773e-13 3.0994771680972226e-13 4.1579746133755563e-13 0.0161587029110889 0.02528689552521362 3.006969502237643e-14 2.2645109194752365e-14 5.4928680476140195e-14 5.6125108922067686e-14 1.0295889226372352e-13 1.0350642529153203e-13 1.3177790861614128e-13 0.013781339999523058 0.05723204274041807 0.0685589413950532 0.07155027358875458 0.06756931902709452 0.041792601196314706 0.031240607343808194
6 1.0613389535763824e-13 1.249898046093195e-13 1.679168235153437e-13 2.99525545925682e-13 4.197028123447224e-13 0.020565072673348436 0.02415517971938529 2.3747991277178587e-14 1.797309389661056e-14 4.4146684592681255e-14 4.511163014050334e-14 8.276700718680436e-14 8.318926653461514e-14 1.0629920710155588e-13 0.010481439839451151 0.055432669885781105 0.06664207837573037 0.07005602832245493 0.06703519685318232 0.04082670113787872 0.030482648779123513
7 7.088569364051383e-14 8.448614602516918e-14 1.1664909908929378e-13 2.275974819717557e-13 3.4629869971479304e-13 0.023532460917025984 0.02249064130629844 1.3600315758152122e-14 1.0399696733543583e-14 2.459482869130903e-14 2.5133952197405245e-14 4.613769977797191e-14 4.6346083791609553e-14 6.422809489415134e-14 0.006440086531468644 0.04937845421239896 0.0594948381712973 0.06296698201493281 0.061046372145718356 0.03803269177385004 0.028384584041883563
8 5.6574689270779864e-14 6.735216645260049e-14 9.24541244127749e-14 1.7821809625552718e-13 2.676243986290982e-13 0.024842364493989428 0.021361742797727262 1.180559763845055e-14 8.910777578128057e-15 2.4211059016519515e-14 2.473957679272897e-14 4.544039899399372e-14 4.561659204890513e-14 5.533550689319498e-14 0.010417159512166804 0.05714893265118306 0.0683566422867873 0.07224200835745245 0.07032624806282813 0.03989588418549171 0.029751668933673824
9 5.5186649811549107e-14 6.617172653493308e-14 9.160249013002743e-14 1.8125454472353752e-13 2.762148502506683e-13 0.02481216037530103 0.019449354401657203 1.0999604260440023e-14 8.336785797292737e-15 2.217534478310481e-14 2.266014375068711e-14 4.163511284678574e-14 4.1780725257253134e-14 5.51109104307634e-14 0.011196468855077735 0.05245717452742015 0.06234461110335994 0.06586426849452218 0.06448671217195229 0.03723200394028598 0.027774473852362966
10 1.733354020221954e-13 2.0781114383725781e-13 2.8595898363454183e-13 5.522162961840391e-13 8.226910480149691e-13 0.02432442490106959 0.017269452925497437 3.5988856005750383e-14 2.720146325882655e-14 7.46389090008537e-14 7.630040264574342e-14 1.4023090978004296e-13 1.4067834214982543e-13 1.9090176200298434e-13 0.013859406532957681 0.052205328289200915 0.061436640691308914 0.0646693087705213 0.0634629448288713 0.03609074876918367 0.026934282786842678
11 1.77643816135811e-13 2.129210436126805e-13 2.9112440950404734e-13 5.468144732222866e-13 7.910672899277568e-13 0.023927739770030106 0.015000667096540531 3.8523140203305295e-14 2.9047571363182235e-14 8.180571911935854e-14 8.362852958669846e-14 1.5372979284705176e-13 1.5420374369137835e-13 2.2032149035048304e-13 0.01629204409178604 0.052017462838826065 0.06054851304216793 0.06345653941600445 0.06241328165851755 0.03514465137306943 0.026245889122125814
12 1.3368427590696016e-13 1.6006977481820102e-13 2.1748675020083127e-13 3.970405558912019e-13 5.578740924584355e-13 0.02368965066973079 0.012616017431413534 3.0280377391390624e-14 2.278583224224042e-14 6.561625116500027e-14 6.707908122198655e-14 1.2332176481268383e-13 1.2368650885403702e-13 1.902668774860677e-13 0.018474276645721058 0.051902794627709206 0.059721120527295904 0.062286127531404105 0.06140564850779111 0.034371480763681066 0.025690708254396625
13 1.7930866414111958e-13 2.1451540001417922e-13 2.8982353673114904e-13 5.153012764422956e-13 7.025779921748142e-13 0.02358423942963588 0.010055658949431268 4.2372700159673266e-14 3.18277958677203e-14 9.352743897532978e-14 9.56127090887251e-14 1.7578311632955277e-13 1.7629884334395765e-13 2.9823362568769173e-13 0.02046461333555086 0.05198073147520691 0.05911410316262211 0.061337966089453314 0.060623338119480154 0.03382220414215307 0.02530639260765379
14 1.334246537318514e-13 1.5947648851632576e-13 2.1434895025146502e-13 3.721157641574359e-13 4.951165179118274e-13 0.0236703625055401 0.007463072929763864 3.280860483622877e-14 2.4613992295921223e-14 7.335538885383131e-14 7.499037726098593e-14 1.3785879661896755e-13 1.3827422871128344e-13 2.62649702610628e-13 0.02214672807575341 0.05207395340014691 0.058570783659185326 0.060471415245340825 0.05992224385742422 0.03348196455345123 0.025079983466895935
15 5.3059577112439864e-14 6.342981974510318e-14 8.499871990194747e-14 1.4475821592049357e-13 1.8961305185222115e-13 0.023936534674252365 0.005113431683178196 1.3476357254690593e-14 1.0103052339937679e-14 3.047008952833218e-14 3.114870183811648e-14 5.725315535850762e-14 5.743610438659286e-14 1.2217739562494218e-13 0.023400575527907322 0.052193949328430946 0.058181054171245576 0.05982253051325471 0.05943413930134867 0.033305929283635904 0.024974347098192833
16 5.540541825030311e-14 6.602347413601285e-14 8.772366264261272e-14 1.4493419154820926e-13 1.8443822888438235e-13 0.024585845538718787 0.0002989890494233721 1.478245451031864e-14 1.1082082319308837e-14 3.322504192678327e-14 3.3964060640066734e-14 6.24123133336828e-14 6.262201666692142e-14 1.6959502807569002e-13 0.02543902630122546 0.0526929445898003 0.057934980146427645 0.05914275526710294 0.0588967372410642 0.03364207980655481 0.025273026451092882
