 pectoralis_major_clavicular_part_1 pectoralis_major_clavicular_part_2 pectoralis_major_clavicular_part_3 pectoralis_major_clavicular_part_4 pectoralis_major_clavicular_part_5 biceps_brachii_caput_breve biceps_brachii_caput_longum Triceps_LH_1 Triceps_LH_2 Triceps_ME_1 Triceps_ME_2 Triceps_LA_1 Triceps_LA_2 deltoideus_scapular_part_1 deltoideus_scapular_part_2 deltoideus_scapular_part_3 deltoideus_scapular_part_4 deltoideus_scapular_part_5 deltoideus_scapular_part_6 Brach_rad_1 Brach_rad_2
0 5.989776372338256e-13 6.579485100748401e-13 7.66450781212004e-13 6.628811534598037e-13 9.769488294953582e-13 9.121159587510123e-13 2.5885954774743564e-12 2.8735456524719223e-11 4.050707772320364e-12 3.9914444653194416e-11 4.083252074897581e-11 3.951541935462968e-11 4.0037165382099944e-11 6.3320154227695244 31.175817221531663 37.59302350408607 41.283425554430195 28.622381939380773 2.6407894801128767e-12 3.714024541114685 2.829927865686523
1 8.199293056116642e-13 9.02695030706016e-13 1.0547822602740145e-12 9.228723843326429e-13 1.3571822343165687e-12 1.2602471510977821e-12 3.8969205900861106e-12 1.7027384727668985e-11 4.420870367801946e-12 3.2944876713724134e-11 3.3716054721602476e-11 3.2602815426698766e-11 3.303239558438027e-11 0.4022437424288478 26.619542325821154 32.78862383209083 36.46499970518878 26.45958287443315 4.122518894806738e-12 4.130729991078367 3.1420331385774753
2 1.2159361765416261e-12 1.343248604369613e-12 1.5786827514769803e-12 1.4041626722721923e-12 2.0659715251985855e-12 1.919535832139608e-12 7.0795128293559254e-12 1.1713047128309934e-11 4.603060014500798e-12 3.627224540846452e-11 3.7118421788721086e-11 3.5905558667995006e-11 3.6346830241631336e-11 1.500687370415487e-11 23.39026040574065 30.20892157859892 34.617809889115186 27.056162265374027 8.479153630101907e-12 4.389331224560332 3.328246240017973
3 2.3387744635208942e-12 2.6074321307256214e-12 3.110888243327328e-12 2.8243889830224056e-12 4.208565567305586e-12 3.952672212467447e-12 2.4186177902615406e-11 9.858775815262795e-12 5.1962077412958454e-12 4.0881407851860144e-11 4.1825682437165045e-11 4.0453809591143986e-11 4.094464081447165e-11 9.307810849221753e-12 17.870557648191145 25.89985581188256 31.396459480472675 27.393371436161587 1.0758604996604688e-10 4.805338385491051 3.6296237534717966
4 2.4154143986722356e-12 2.6967147682142627e-12 3.2242902366197154e-12 2.9720072707347926e-12 4.404289661035696e-12 4.150380085686762e-12 3.298638819990528e-11 9.097876014647346e-12 4.961580658343852e-12 3.442987987940636e-11 3.521233312598697e-11 3.405763061940117e-11 3.4463785103280844e-11 8.583150028156776e-12 16.453505152072605 24.48504243839744 29.945946182608512 26.589740222025757 3.4535787249346646 5.011199914084364 3.77885534612067
5 1.3730773146374536e-12 1.5366913185572392e-12 1.843259405434952e-12 1.7212768309942088e-12 2.541632513944552e-12 2.380745837684646e-12 2.651774593533148e-11 4.661364524311189e-12 2.6193848650892608e-12 1.5731688340786062e-11 1.6082197841871214e-11 1.555610442211492e-11 1.5737569973283716e-11 4.524024552733155e-12 15.277588025401379 23.182883988275293 28.49510569700294 25.621389620889513 7.13227568332703 5.240662000507653 3.9482598304251613
6 5.300262383217699e-12 5.9737547368933345e-12 7.236059266047679e-12 6.859865139673834e-12 1.0162574335528606e-11 9.611548235761769e-12 0.006214576219940599 1.4091654079437946e-11 8.406815001126867e-12 4.2724412814117896e-11 4.36952209419104e-11 4.227351954738776e-11 4.2750347613760435e-11 1.4222635590892745e-11 12.961623718485205 20.767733316804446 25.946835554539653 23.993341804988255 10.652498102827199 5.491298327617014 4.134988006714294
7 1.6014411441032087e-12 1.7970267876812065e-12 2.162900013329296e-12 2.0833667000224845e-12 3.0261630960747298e-12 2.8219554009697194e-12 7.183799882750239e-11 4.85576863988057e-12 2.8064101020067717e-12 1.5295607773966858e-11 1.5650786833923078e-11 1.5137961989940022e-11 1.5301174679958336e-11 4.753859531531515e-12 14.232078856641635 22.377527726432028 27.71698712006661 25.449786323372255 10.744474187590873 5.480594449391269 4.12459316212002
8 6.970609644399053e-12 7.85350044571157e-12 9.500315952529298e-12 9.31174284053267e-12 1.3431091156419355e-11 1.2621378371997283e-11 2.0822259110879684 1.8540160814305973e-11 1.1060843689941594e-11 5.5628228105274415e-11 5.6944556525473114e-11 5.510737516831724e-11 5.5633583322717084e-11 1.859288935782338e-11 12.631230632962755 20.575099961524554 25.707020691382862 24.01693714960095 12.11151183745349 5.4431168485643635 4.0915935542639055
9 1.8933981586490673e-12 2.1336206142852507e-12 2.579725617952476e-12 2.5707995099576212e-12 3.652569675017475e-12 3.4464866593581858e-12 2.7691136791888846 5.007502326006711e-12 2.9980599927772106e-12 1.4609794718145428e-11 1.496110340607553e-11 1.4490791994349334e-11 1.460696148510749e-11 5.0876617600341204e-12 12.260449510427708 20.064990938130947 25.039516590877422 23.478967091232658 12.365339232337636 5.384311394325584 4.045164942120004
