 pectoralis_major_clavicular_part_1 pectoralis_major_clavicular_part_2 pectoralis_major_clavicular_part_3 pectoralis_major_clavicular_part_4 pectoralis_major_clavicular_part_5 biceps_brachii_caput_breve biceps_brachii_caput_longum Triceps_LH_1 Triceps_LH_2 Triceps_ME_1 Triceps_ME_2 Triceps_LA_1 Triceps_LA_2 deltoideus_scapular_part_1 deltoideus_scapular_part_2 deltoideus_scapular_part_3 deltoideus_scapular_part_4 deltoideus_scapular_part_5 deltoideus_scapular_part_6 Brach_rad_1 Brach_rad_2
0 6.438784034393405e-15 7.095134291529377e-15 8.301567624428856e-15 8.545109678670229e-15 1.1297116292109908e-14 7.749401988899379e-15 4.959528151518029e-14 1.873526495578429e-14 8.722078475949292e-15 3.051591035540334e-14 3.1220343853709083e-14 5.700406254884693e-14 5.775668074298953e-14 4.0206991805481844e-14 0.08000782356477186 0.1049723746865364 0.11203082532644515 0.09109499619624735 0.0038166560006112843 0.03197623669760518 0.024256565605004804
1 1.0726954959345758e-14 1.1849365917136904e-14 1.3907231494707587e-14 1.4442599451458437e-14 1.9017401152314158e-14 1.3167486044708553e-14 1.0392242145785748e-13 2.5964939250979516e-14 1.2993463212288141e-14 4.0074283940334965e-14 4.1005825077386246e-14 7.484788940739748e-14 7.58355144683633e-14 5.923975243136384e-14 0.0737187372195133 0.09835782112401487 0.10559048270476334 0.0870153722158798 0.020151117651267786 0.03338826225669566 0.02531058597233085
2 1.4209042701828556e-14 1.5713289667198117e-14 1.8466825127239483e-14 1.935931026216153e-14 2.5319540942710763e-14 1.7772462524928356e-14 1.6692383786402415e-13 3.107576248075305e-14 1.6171814675122174e-14 4.6435116201532906e-14 4.7521441608063675e-14 8.671518878493344e-14 8.785794304779663e-14 7.361679019660461e-14 0.07066447988287308 0.09534838878088844 0.10270069405415107 0.08536744407807786 0.025237185939698367 0.03444078200856941 0.026094039546049348
3 1.8570807582042632e-14 2.0596815051641278e-14 2.4300084814105898e-14 2.5775641387210407e-14 3.353639645884989e-14 2.4297071109402965e-14 4.3579534867248156e-13 3.291596966703603e-14 1.8352632143158714e-14 4.8471766073952837e-14 4.960565489990333e-14 9.049266165130379e-14 9.168282615913404e-14 8.087979627168911e-14 0.06440591193480998 0.08953555652431991 0.09746055289789075 0.0826057640107335 0.03270369075658305 0.03586922472790888 0.02715659536614098
4 1.4026127340781589e-14 1.5587583679079285e-14 1.8435740822951944e-14 1.976298863013467e-14 2.5540284639864944e-14 1.887571631260213e-14 8.468148725404165e-13 2.231339337625271e-14 1.285968448459222e-14 3.2196707661418e-14 3.2949301918916383e-14 6.01468747677003e-14 6.088801568740452e-14 5.649309241033128e-14 0.06067504777763825 0.08575231372092225 0.0937869530829383 0.08030301039642071 0.03533901719611764 0.03639530287438628 0.02754581595044709
5 2.490967081199711e-14 2.7802200137122845e-14 3.3067663030001026e-14 3.584599524331794e-14 4.6166994595819617e-14 3.359608933851014e-14 0.003979932702076329 3.453183324418384e-14 2.0565407005403222e-14 4.949900873087389e-14 5.0652215703288615e-14 9.245643356049014e-14 9.359091340675593e-14 8.946164942007409e-14 0.05627230714538511 0.08132376497775613 0.08951535526878829 0.07760815034481028 0.03783654143797587 0.036320478005467775 0.027430168186834036
6 3.328835814972785e-14 3.7332233414046507e-14 4.46720528242862e-14 4.8974058638758484e-14 6.279740283876316e-14 4.470962452498856e-14 0.010211879492031003 4.112656898676153e-14 2.511658110677592e-14 5.80836024418639e-14 5.943124031917634e-14 1.0847563701308937e-13 1.098001566275949e-13 1.1012014321092636e-13 0.0523786697759106 0.0769723827666977 0.08504922333669318 0.07442309982076671 0.03883130463257734 0.03586949800229835 0.027042923018255664
7 1.4495340215327833e-14 1.6295434422931144e-14 1.9573053494562055e-14 2.1725935616730653e-14 2.7755194359405098e-14 1.9685603045903064e-14 0.014460071382246833 1.607013661990148e-14 1.0056759975031151e-14 2.2146340256745966e-14 2.2658147526974004e-14 4.1354036593645196e-14 4.185614066034057e-14 4.462150746536556e-14 0.048612705807877354 0.07262369599947278 0.08053643035619941 0.0710723509310021 0.03911938489854567 0.0355474980309536 0.026769010053660836
8 1.550880180814065e-14 1.7388199038780432e-14 2.0847089344360666e-14 2.3433613836476695e-14 2.981399198584535e-14 2.184568118650765e-14 0.01750916035693277 1.587111998848799e-14 1.015867087074127e-14 2.1175916528078277e-14 2.1662715969847296e-14 3.953622283832843e-14 4.0013198720803076e-14 4.5905953079145114e-14 0.04522508972032382 0.06848726728203962 0.07615074892470032 0.0676530527040632 0.03870858676510058 0.035266553074360676 0.02653917006971746
9 6.315888752334301e-14 7.035923884151316e-14 8.407659273134665e-14 9.616807709770992e-14 1.232590368817163e-13 9.845176070291867e-14 0.022431858059643713 5.320870700174949e-14 3.555862222710765e-14 6.936303291489167e-14 7.094565326589152e-14 1.2948469778106146e-13 1.3103580749095506e-13 1.6092862442806776e-13 0.03887826374692042 0.061865544979048025 0.06964368418922844 0.06309346635270509 0.03940908557417849 0.03506951220658607 0.02635686720609212
10 4.439592061274749e-14 4.96089191098622e-14 5.928960617578302e-14 6.827884119443348e-14 8.542987014018975e-14 6.555805201654076e-14 0.019228208067933697 4.240035622331424e-14 2.7763324921718544e-14 5.399884451533769e-14 5.522243664436333e-14 1.007891021367131e-13 1.0198721662003104e-13 1.3059770217566869e-13 0.04154275644869744 0.06349330513705996 0.07057401675644297 0.06305370024319427 0.037432358596103006 0.034485769763267254 0.02593565003930383
11 6.920845394216456e-14 7.681350300816958e-14 9.148641990887554e-14 1.073489311631439e-13 1.3537608846061578e-13 1.1476243389862076e-13 0.023125829945435557 5.4524776735967696e-14 3.7139579115901956e-14 6.861854173697609e-14 7.016189921634004e-14 1.2805926095358058e-13 1.2956905152441347e-13 1.7420890620468359e-13 0.03588663900344324 0.057817243283656075 0.06509073323323174 0.05933302688311687 0.03828675653179062 0.0343133972517662 0.025776927197590255
12 7.610267697480959e-14 8.418601231658814e-14 1.0004668705130406e-13 1.192013252902625e-13 1.497657853773361e-13 1.3461484971681836e-13 0.02416748869698919 5.563486931200301e-14 3.8510360840964085e-14 6.889914886074145e-14 7.043655323502063e-14 1.285656135878536e-13 1.3006822187786035e-13 1.8276849343803151e-13 0.033505636087209564 0.05513082615934003 0.062299565954923954 0.05721686888736456 0.038032588502754254 0.03406165572503482 0.02557748005775381
13 7.620878574760004e-14 8.418569973533085e-14 9.996717889287848e-14 1.2109586537761953e-13 1.507622373282917e-13 1.445478433001916e-13 0.024731093976336077 5.2072204428416e-14 3.657707871318437e-14 6.32705287248883e-14 6.468324685975402e-14 1.1807028609645488e-13 1.1943784455089906e-13 1.7855485969985922e-13 0.03168922358641017 0.05290325787234183 0.05986229731979227 0.05530235386538275 0.037720054635904825 0.03387329680277714 0.025429666783569345
14 7.772421914373068e-14 8.586547418509623e-14 1.0199142455792498e-13 1.251782207490768e-13 1.5452934458066076e-13 1.5866498312746694e-13 0.025116868482139367 4.996938710128146e-14 3.557364578121837e-14 5.943017255409557e-14 6.076831853883329e-14 1.1093073282606036e-13 1.1220360150706384e-13 1.7951874429106607e-13 0.03018629266799286 0.05093430160275521 0.05765179423966675 0.05350798626810167 0.037272189951286686 0.033727094856203454 0.025314803690390537
15 1.0527575843912079e-13 1.1631951108523527e-13 1.3822453081323458e-13 1.7194168590217692e-13 2.1054216685876146e-13 2.336868827935036e-13 0.025505172576318166 6.366749171757696e-14 4.589858912834712e-14 7.436501319912874e-14 7.605188745463754e-14 1.3883952887216156e-13 1.404145038316116e-13 2.38696270085155e-13 0.028784764501320125 0.049184373074169244 0.05571273431810752 0.0519641942788435 0.03694997973557687 0.03363244813078541 0.02523820836080142
16 6.628723711134076e-14 7.326929407395849e-14 8.718430960231796e-14 1.0892069329803067e-13 1.33527823509801e-13 1.6329721365852454e-13 0.02587563852987209 3.7545149186114714e-14 2.739975650184676e-14 4.3242250930252484e-14 4.422958984916259e-14 8.075059441054045e-14 8.164412265792504e-14 1.4715103577389967e-13 0.02749675264001806 0.047673268572641266 0.05404780470053701 0.0506920726396458 0.03685982947577321 0.03361536060947523 0.025220055937258692
17 7.609277688829144e-14 8.419364163903513e-14 1.0036741471951408e-13 1.2623031372767137e-13 1.548775598858039e-13 2.1725058571421585e-13 0.026252606624651578 3.985772754359065e-14 2.944733358151284e-14 4.560252859766329e-14 4.664970406726543e-14 8.517485055909473e-14 8.609528770063948e-14 1.640310532764144e-13 0.02624562582218501 0.04639608407923465 0.05266448768344029 0.04974851795837814 0.03717692840264589 0.0336794310781608 0.02526349631862141
18 8.28702481721554e-14 9.180429739691586e-14 1.0967967087722662e-13 1.3901004087247286e-13 1.7072407866558831e-13 2.842955657886946e-13 0.026707485469761563 4.0223335209054946e-14 3.004221457066561e-14 4.586443151510038e-14 4.692277283616938e-14 8.563145718319826e-14 8.65849301143945e-14 1.7233345157378473e-13 0.02506816285150528 0.045337979449940294 0.05156422332217046 0.04906708879239621 0.03760505518718301 0.03381449980442534 0.0253603693052589
19 8.601672775833912e-14 9.545230727817165e-14 1.1435824735439572e-13 1.4621906628563208e-13 1.7962778779591273e-13 3.824146605095139e-13 0.02706602530025265 3.854672971437451e-14 2.9089214603810654e-14 4.392337601439249e-14 4.4941072410460376e-14 8.202185556099611e-14 8.29164727838189e-14 1.7348433711414432e-13 0.024085910127055313 0.04452996648646284 0.050700467182820425 0.04859997352992354 0.03821682351751411 0.03402968172225947 0.02551814911899963
20 7.442538100174452e-14 8.276204052623755e-14 9.947368385280729e-14 1.2854255007608576e-13 1.5813345010301986e-13 4.737165261191113e-13 0.02746317619551604 3.088051221348295e-14 2.350016423158982e-14 3.5366267196974695e-14 3.61884606137282e-14 6.605243418749453e-14 6.675994864070192e-14 1.4403418578878514e-13 0.023118158880797636 0.04392896928633303 0.050123326846037 0.04841813344930373 0.03899632825763339 0.03425577869664638 0.025683726158713303
21 1.0584718843674629e-13 1.1824434786994252e-13 1.4289957803320308e-13 1.8709995219827454e-13 2.2793592054630793e-13 4.491175710284896e-12 0.026843184815286972 3.8672180834197044e-14 2.9863487554262843e-14 4.4268477243567715e-14 4.530042299306832e-14 8.268922394235194e-14 8.356308330122385e-14 2.1576871385622225e-13 0.023046352613543226 0.04341312071745204 0.04907459578309686 0.047707616821923086 0.03989143981241969 0.03456707240747661 0.02592148194019518
22 5.5234100629990405e-14 6.176052678279912e-14 7.457187043387575e-14 9.800835694152506e-14 1.176159945059395e-13 0.0021837526083852885 0.025175291089440985 1.9795400520959005e-14 1.5354165877674003e-14 2.2634372790233923e-14 2.3163113593967745e-14 4.228305614928159e-14 4.27245129446378e-14 1.3166316550158755e-13 0.02428446293690228 0.04387472629877027 0.04891576480077807 0.047424635923791626 0.040248362275043165 0.034584271146939516 0.025930915487272506
23 1.814741756554962e-13 2.0289742482913866e-13 2.4466381883767264e-13 3.231439742651852e-13 3.855567166858483e-13 0.002590058486523118 0.024626867081283633 6.565570850164857e-14 5.088127321572044e-14 7.581103161547236e-14 7.758466806968133e-14 1.4163232567479394e-13 1.4309773335615978e-13 4.606303251380624e-13 0.024787971343105904 0.04433785163557196 0.0492174062846401 0.04769294396994984 0.0407333921120803 0.034554584805796915 0.02591135616274804
24 6.078429112927397e-14 6.797337984138745e-14 8.188929425520905e-14 1.0871750513794445e-13 1.2886042030064958e-13 0.0030758619789645657 0.023858961330804826 2.2204434605867092e-14 1.718387760889327e-14 2.599442242552577e-14 2.6603146023551294e-14 4.856577644951151e-14 4.906539507018978e-14 1.6667649525732608e-13 0.025359190912205 0.04483386604170196 0.049517504926551735 0.04795307734552428 0.0412540343498839 0.034425556635252215 0.02581924718015951
25 1.6992958114657377e-13 1.9007395696453802e-13 2.2878891078790613e-13 3.0554120313318453e-13 3.598153516802073e-13 0.0035206136862682633 0.02299773271497656 6.27326349880681e-14 4.8453250076945183e-14 7.473863218891433e-14 7.648945511097573e-14 1.3963784594393534e-13 1.4107116049917418e-13 5.057591028558442e-13 0.025920269795152488 0.04534255180208627 0.04983571116964284 0.04823607603967729 0.041809779437230556 0.03422958368655232 0.025678725422680623
26 1.8748709418783157e-13 2.0982629084197558e-13 2.525663230384887e-13 3.3918259164405194e-13 3.963745218462243e-13 0.004234092064080282 0.021852948515316235 6.981214261992283e-14 5.381714443180931e-14 8.483025331146812e-14 8.681704093954258e-14 1.5849076106721726e-13 1.6011982651572277e-13 6.216949590181209e-13 0.026566976165869696 0.04586835848002131 0.05011917580084276 0.048468550445234494 0.04236243331462201 0.033983483571987466 0.025501210457534392
27 1.4560183298957976e-13 1.6307948328164742e-13 1.9636501144195628e-13 2.651329767718119e-13 3.07251592270057e-13 0.005253695764603829 0.020433509954287218 5.452937428610942e-14 4.197980598400103e-14 6.765819406731106e-14 6.924148657207634e-14 1.2640257593282468e-13 1.2770830843693654e-13 5.551010646806366e-13 0.02726947634361443 0.0463852064740881 0.050349237885797954 0.048631355389482656 0.04288028218084636 0.03372079991228298 0.025310903653592037
28 1.3385791703178629e-13 1.49976715144444e-13 1.804688836817139e-13 2.433445618959809e-13 2.7997073621215995e-13 0.006788665743922986 0.018739969464853394 5.0914236257110445e-14 3.915697026112294e-14 6.463863061626286e-14 6.614912724687859e-14 1.2075293137072878e-13 1.220109100215056e-13 6.132522336515086e-13 0.0278981968702735 0.04683230151032851 0.05050053046022726 0.04874258824899932 0.043429931570941986 0.03344944347731063 0.025111669542699715
29 1.2322789989847885e-13 1.3811414920729493e-13 1.661288295747001e-13 2.2345082315971587e-13 2.5568947592261606e-13 0.00860859984073974 0.01683182989970546 4.732184686772405e-14 3.639244536689203e-14 6.138750271503262e-14 6.281914541915093e-14 1.1466836780031302e-13 1.1587701116094267e-13 7.154269399666423e-13 0.028481602171237706 0.04717047281999021 0.05051118189619147 0.04871492596318945 0.0438919214221387 0.03320667644271873 0.02493318412053289
30 6.548017531279182e-14 7.340062621941314e-14 8.824414188320614e-14 1.1834945717476822e-13 1.3469296625480024e-13 0.010434674989708804 0.014926439721819118 2.5435947554664493e-14 1.9568654741723262e-14 3.365226151882274e-14 3.443504072149444e-14 6.285287194636136e-14 6.352398438088823e-14 5.077232379655634e-13 0.02895992903257048 0.04738874019259552 0.050414508460432 0.048584225433825276 0.04423883596572658 0.032986591280787764 0.024772473690151894
