 pectoralis_major_clavicular_part_1 pectoralis_major_clavicular_part_2 pectoralis_major_clavicular_part_3 pectoralis_major_clavicular_part_4 pectoralis_major_clavicular_part_5 biceps_brachii_caput_breve biceps_brachii_caput_longum Triceps_LH_1 Triceps_LH_2 Triceps_ME_1 Triceps_ME_2 Triceps_LA_1 Triceps_LA_2 deltoideus_scapular_part_1 deltoideus_scapular_part_2 deltoideus_scapular_part_3 deltoideus_scapular_part_4 deltoideus_scapular_part_5 deltoideus_scapular_part_6 Brach_rad_1 Brach_rad_2
0 6.214143544706393e-15 6.955553149877727e-15 8.311586598028277e-15 9.794315313144011e-15 1.1257217347096826e-14 1.0260613567460613e-14 2.2206691568489014e-13 1.3150280084423168e-14 7.061057827218534e-15 5.236287269955289e-14 5.3914634354526927e-14 9.710482692262984e-14 9.7947182773762e-14 3.4192739475145485e-14 0.0683583011868541 0.09888436762688849 0.10711138765451202 0.0941302046835548 0.05463993426720767 0.027704948893107498 0.021429560060650065
1 6.165189512751499e-15 6.903235580179714e-15 8.24966325380736e-15 9.715623306068093e-15 1.1153010504697402e-14 1.0100020564152929e-14 1.8290162406317574e-13 1.3228472897699528e-14 7.077964601175324e-15 5.223782789830429e-14 5.378870570771553e-14 9.687803535062658e-14 9.77157571880079e-14 3.4436720130986176e-14 0.06896359841638165 0.09948222270587742 0.10767515004141692 0.09448523289725418 0.05441292190849901 0.027741030357006834 0.021445829241786195
2 1.3287093122406574e-14 1.487386914994385e-14 1.778466157591814e-14 2.0960830246781258e-14 2.4130671141969814e-14 2.202090612290771e-14 5.232576271514508e-13 2.7730040095830865e-14 1.4905899432357626e-14 1.1799143171517868e-13 1.2150041269603865e-13 2.188327900487792e-13 2.2071920543102267e-13 7.057878192249028e-14 0.06934986859729873 0.10067623916566572 0.10924862993079228 0.09614585784260529 0.05597850194725301 0.027629230377615773 0.021415113781117552
3 1.874507891661386e-14 2.0985578035521178e-14 2.5096001452169264e-14 2.9571725761660646e-14 3.4043997052525974e-14 3.10232327706851e-14 6.802653240246192e-13 3.896158111793502e-14 2.0970708750656368e-14 1.6547988408568475e-13 1.7040960488564288e-13 3.069228946780794e-13 3.095599833783108e-13 9.919817186986714e-14 0.06960595576955825 0.10107020405803205 0.10969808980705376 0.09654672725341158 0.05619516483864648 0.027742871690467838 0.02149492880499432
4 5.170020019349024e-15 5.788628098754603e-15 6.923637627318242e-15 8.156769516777949e-15 9.390638584092036e-15 8.571974318300225e-15 1.878846005939759e-13 1.0719585966667442e-14 5.7724893262299156e-15 4.5862272574059294e-14 4.723096855672579e-14 8.506756908273357e-14 8.579586450120101e-14 2.7239069994174956e-14 0.06953781583135638 0.1009910457733971 0.10963718382334314 0.09649514915635442 0.05612597618811392 0.02768112894191698 0.021456990005767902
5 6.003817211982551e-15 6.722690743935485e-15 8.042152433644331e-15 9.472725718070892e-15 1.0907021934618191e-14 9.9752299268221e-15 2.1665320634988905e-13 1.2382641633067766e-14 6.677891856177169e-15 5.313767470186062e-14 5.47263941938778e-14 9.856804447232798e-14 9.940210197289469e-14 3.145390352648326e-14 0.06931169918569985 0.10071435030414455 0.10936965831367197 0.0962789461962448 0.056022574141599404 0.027625757015545614 0.021418408795496516
6 2.1453295846422084e-14 2.4023643257728584e-14 2.874336105300964e-14 3.384992019256976e-14 3.8980488701650946e-14 3.5741109403727567e-14 7.751292569049589e-13 4.39849017982075e-14 2.3761738229768998e-14 1.890765277526907e-13 1.9474005939090734e-13 3.507491022536485e-13 3.5370455183772087e-13 1.1174636101923298e-13 0.06898048341872846 0.10028996670222039 0.10894259461690159 0.09592527277736732 0.055851615075398896 0.027555874220643668 0.02136881689450969
7 1.243097286633559e-14 1.3921072434294398e-14 1.665866241775068e-14 1.9614736603889302e-14 2.2591807384056974e-14 2.0780581692494342e-14 4.5433898926428505e-13 2.5309972417293535e-14 1.3701113147847512e-14 1.0888948718243673e-13 1.1216196732008163e-13 2.020100091672595e-13 2.0370460464316063e-13 6.43365040484056e-14 0.06858497509302854 0.0997858236347238 0.10843287397139983 0.09550581496488934 0.05566549382043076 0.027488060371644658 0.021320991484736356
8 1.1989918421107502e-14 1.3427635754502393e-14 1.6070774938901726e-14 1.891953172846445e-14 2.1796474955651312e-14 2.012195075187808e-14 4.4706923175180277e-13 2.4216818873129124e-14 1.3140111968273453e-14 1.0425417616990947e-13 1.0739278141347111e-13 1.9342299844346807e-13 1.9503801212393858e-13 6.159821539373288e-14 0.06817784317813941 0.09928183956256376 0.10792900880117377 0.09509972732801401 0.05551151275500449 0.027433631775761573 0.021283525811586868
9 1.2203317573965429e-14 1.3666789480782997e-14 1.6359714943725648e-14 1.9257363775768073e-14 2.219358793888547e-14 2.05708025771654e-14 4.687104284513586e-13 2.4413841188221205e-14 1.3283253461616823e-14 1.0520745253547575e-13 1.0838010328012857e-13 1.9520415610462633e-13 1.9682620627135464e-13 6.213644911195075e-14 0.0677951415179991 0.09884059601201899 0.1075027935165039 0.09477479826655125 0.05544064153288149 0.027405901234712236 0.021266433659183098
10 1.7376641984949092e-14 1.9460025689995715e-14 2.3298536046565018e-14 2.7423494035710787e-14 3.16216722137449e-14 2.944048654717412e-14 6.970306975326744e-13 3.43545090673815e-14 1.8753794169920917e-14 1.483032221413112e-13 1.5278271333192926e-13 2.751824176847901e-13 2.774578329914167e-13 8.747560194221991e-14 0.06745428643755069 0.09850310478628259 0.10720425311443521 0.09458232233101273 0.05550235984500557 0.027417978878300015 0.02127952210391637
