 pectoralis_major_clavicular_part_1 pectoralis_major_clavicular_part_2 pectoralis_major_clavicular_part_3 pectoralis_major_clavicular_part_4 pectoralis_major_clavicular_part_5 biceps_brachii_caput_breve biceps_brachii_caput_longum Triceps_LH_1 Triceps_LH_2 Triceps_ME_1 Triceps_ME_2 Triceps_LA_1 Triceps_LA_2 deltoideus_scapular_part_1 deltoideus_scapular_part_2 deltoideus_scapular_part_3 deltoideus_scapular_part_4 deltoideus_scapular_part_5 deltoideus_scapular_part_6 Brach_rad_1 Brach_rad_2
0 1.444530518179515e-14 1.631113602804584e-14 1.9929763374913562e-14 2.5466420700063398e-14 2.907821217756843e-14 5.3113123834815334e-14 0.01409697921951708 1.2291597155081604e-14 8.205376777042384e-15 5.265144619040523e-14 5.417303454975815e-14 9.784794152114726e-14 9.854067330742224e-14 4.684376494394824e-14 0.04091925040020393 0.07601674048673135 0.08469234908164072 0.0821229721792049 0.07081950110024014 0.027637286180803435 0.021168110880041297
1 2.157119231979871e-14 2.4397953316930723e-14 2.990596284464583e-14 3.844215354249217e-14 4.3942680404629696e-14 9.004111283040809e-14 0.017397085727705108 1.7313732177141936e-14 1.1665100560285379e-14 7.01833027111028e-14 7.221258075756745e-14 1.3042843045457843e-13 1.3135260416540018e-13 6.682553767623224e-14 0.03878020504918112 0.073454468359419 0.0820582701763326 0.07991509620553856 0.06954573428973936 0.027992738277773835 0.021429990264145996
2 3.5246216158009736e-14 4.0044698517833616e-14 4.951626978109564e-14 6.455224773613417e-14 7.41396566212104e-14 1.9519747405080265e-13 0.021336738519816746 2.4969879536912067e-14 1.7093959232980577e-14 9.256002419715207e-14 9.523745576432487e-14 1.720122809592965e-13 1.732319754138075e-13 9.833086843072751e-14 0.03561273084932566 0.07009143618336176 0.07870776789634662 0.07725299606138489 0.06827405049037485 0.028900197500091887 0.022102424992725356
3 4.8069903801346304e-14 5.439242533880192e-14 6.670621986012489e-14 8.60333050036621e-14 9.792819676170983e-14 2.0521580523955436e-13 0.015020173654229781 3.8140292040659835e-14 2.573670577752644e-14 1.6210936565449581e-13 1.6680074075019627e-13 3.0125996748025025e-13 3.033977362176474e-13 1.5612075346378052e-13 0.040709155974216024 0.07700582175808594 0.08571708245826964 0.08363549074650418 0.07370770635992718 0.02868077908723007 0.021948269302373084
4 3.197701580926825e-14 3.635718115522468e-14 4.501796906380009e-14 5.902050064094537e-14 6.752107632702746e-14 1.9438077657036763e-13 0.020619278952333876 2.2217547324826654e-14 1.5239673684821185e-14 8.844089511932746e-14 9.10016444690736e-14 1.6435523832494241e-13 1.655225094259718e-13 9.039168858900135e-14 0.036480125145803594 0.07279937376021527 0.08169057566606054 0.08051622886623452 0.0721617120106516 0.02917398050250553 0.022305154444327603
5 4.8130133359400674e-14 5.4961267243456333e-14 6.86468450621633e-14 9.138657949719966e-14 1.0516561971961338e-13 3.656107580634894e-13 0.02253144894471624 3.049873848289595e-14 2.1076230808552395e-14 1.186639602503725e-13 1.2210154969999228e-13 2.2051911076967e-13 2.220865868546959e-13 1.2481205811651384e-13 0.034981758456280376 0.07184330284831986 0.08089381424934344 0.08013895616176504 0.0725039232529583 0.029683785378187222 0.022680986365926872
6 4.942414167295915e-14 5.671833127290454e-14 7.156954004328516e-14 9.707231134057504e-14 1.1269395366203971e-13 4.664309963896297e-13 0.02401278400557193 2.857113172619539e-14 1.9851409052757746e-14 1.0954369277924394e-13 1.1271863933367931e-13 2.035691724934997e-13 2.0501734764732149e-13 1.173590199492456e-13 0.03390888259451507 0.07138786697749398 0.08060538776714679 0.08017750197354696 0.07306646837416787 0.030163605568369698 0.02303568415869873
7 4.863886424396563e-14 5.6190262460101017e-14 7.198682236494953e-14 1.0050333560665909e-13 1.1878495397960693e-13 5.806964281307336e-13 0.02532099537009473 2.5049475308190365e-14 1.748402374610012e-14 9.488321639749812e-14 9.763455033258064e-14 1.763237323203663e-13 1.7757906553727736e-13 1.0300243145930246e-13 0.03293331021891921 0.07105251280434687 0.08044519608076545 0.08031028390210652 0.07363561406649724 0.030615962438954356 0.02336876901758176
8 2.2569087248782085e-14 2.6165983985381446e-14 3.378689582113816e-14 4.802886682062301e-14 5.708649159344819e-14 5.826146289989089e-13 0.026795013813188412 1.0880310039282056e-14 7.637909322356943e-15 4.117094152635415e-14 4.2365322030863e-14 7.650853808508501e-14 7.705365112780851e-14 4.449479585299681e-14 0.03138196580771875 0.07056299382090056 0.08025314504130802 0.08056182228670021 0.07449967479111057 0.030997043365657707 0.02364375222629112
9 3.144775198438502e-14 3.6571452351263586e-14 4.754711556323142e-14 6.875951483435178e-14 8.211447940386232e-14 0.000666750649278323 0.027810076792256153 1.4357015016445966e-14 1.0125687584010645e-14 5.456852974805283e-14 5.615228326088851e-14 1.0140489720147341e-13 1.0212792620891952e-13 5.826054859424271e-14 0.02985146297167792 0.07009581634757031 0.08007550281635013 0.08079284104670767 0.07526866656213124 0.031229821831533704 0.023800807576726257
10 3.8815230420267445e-14 4.52014287731064e-14 5.896480138228701e-14 8.625846550083885e-14 1.032824249827808e-13 0.003739492394150019 0.027611691423375745 1.726256954655741e-14 1.2197476184855178e-14 6.621807947899204e-14 6.814080691620029e-14 1.2305254136175723e-13 1.2393057485139742e-13 6.934256527574126e-14 0.028919771238667635 0.06991158088663363 0.08010184784594189 0.08105249666884494 0.07577712934889898 0.031213716377444765 0.0237523116193929
11 2.537594337468123e-14 2.9604262122239536e-14 3.8783610619487906e-14 5.752010876568215e-14 6.913537936444064e-14 0.006687283210239184 0.027339485504493315 1.0932435605185138e-14 7.74313483052184e-15 4.2242683636504887e-14 4.3469845089226693e-14 7.849875300634826e-14 7.905932164436608e-14 4.356110699759432e-14 0.02779398159462968 0.0695602673485753 0.07995261840347008 0.08116534139455654 0.07620632282335743 0.03121108006151878 0.023712436623745923
12 2.9439188536021525e-14 3.441788863544553e-14 4.531495717061872e-14 6.826794977117629e-14 8.238066202960351e-14 0.009713211051857278 0.027102362385956376 1.2243236445833157e-14 8.694847419993636e-15 4.760795076076723e-14 4.899172610188353e-14 8.846827934737765e-14 8.910060837280192e-14 4.852815319350354e-14 0.02654863437615922 0.06908529870622933 0.07965716299666369 0.08114389019824164 0.07655199514656633 0.031219331048698232 0.023684209028561186
13 4.110522554778934e-14 4.811736393370117e-14 6.356785589282875e-14 9.704809512434598e-14 1.1745970269220745e-13 0.011985031856407103 0.02704860504509499 1.6644586162520297e-14 1.1848471614623132e-14 6.47048555022474e-14 6.658677609743278e-14 1.202378559515467e-13 1.210981678419006e-13 6.612057660961151e-14 0.02561267749150088 0.0686412744774946 0.07929561083271199 0.0809816971417529 0.07671803424072553 0.03131990364756779 0.02373750352822535
14 2.57658716941922e-14 3.016092715631111e-14 3.9887222487084024e-14 6.145293360279861e-14 7.449229209590114e-14 0.013436872514646241 0.0268201273931918 1.027505961371606e-14 7.329125376418488e-15 3.9537149991211304e-14 4.068796706255982e-14 7.346918137269422e-14 7.399553094074248e-14 4.125230817697383e-14 0.02512328419159975 0.06829054248452439 0.07892049645623272 0.08071242796887691 0.07671199611761428 0.03156590224369677 0.02390985209443239
15 3.2625208864263626e-14 3.8214790272631974e-14 5.065681785351922e-14 7.898698875573118e-14 9.58893189354823e-14 0.015236177530995541 0.026492463404989255 1.273467273751199e-14 9.104591944875644e-15 4.877457483161105e-14 5.019560112399419e-14 9.06333084945514e-14 9.128362967485754e-14 5.178670069152805e-14 0.024501309485331288 0.06786572565641312 0.07846573463058425 0.08039721872067472 0.07674368830762592 0.031732009880449864 0.02402062106180065
16 4.791725254083158e-14 5.619356091646831e-14 7.474536549272876e-14 1.182576185163557e-13 1.4373319016449542e-13 0.01730309561837687 0.026048540788142876 1.8221147667972868e-14 1.3060124253855704e-14 6.977840116859064e-14 7.181364844721787e-14 1.296608179961385e-13 1.3059289183521083e-13 7.532024291294009e-14 0.023825819554611247 0.06741733799017853 0.07797137368931108 0.08006342534376613 0.07682907701242281 0.03184938955060313 0.02409609894375215
17 5.2238947861848014e-14 6.13700653245032e-14 8.200874227865764e-14 1.320574648976716e-13 1.6061314463567785e-13 0.019418282317554904 0.025417676584493898 1.925720222896131e-14 1.3841170064119578e-14 7.401476820882373e-14 7.617640738680872e-14 1.375302907897562e-13 1.3852106144128688e-13 8.130729100769204e-14 0.0231261465135782 0.06696862255917038 0.07745484828476062 0.0797261185203973 0.07698728669632768 0.0319347987898253 0.024147758492792142
18 5.0225134942991966e-14 5.939456135813201e-14 8.076119941478899e-14 1.3707516834539927e-13 1.6882691034208373e-13 0.02456177112419695 0.024833877505097614 1.6818240463208956e-14 1.2168164240051834e-14 6.585636289685172e-14 6.778252038619426e-14 1.2236838326273656e-13 1.232520219529995e-13 7.219878492445979e-14 0.020531886285015778 0.06639057353063049 0.07712882400646194 0.07998888557350094 0.07826337036361022 0.03220274113428994 0.024316696059162344
19 3.8003118922408666e-14 4.470699702417443e-14 5.986340589664061e-14 9.79648105302709e-14 1.1760217926957888e-13 0.02110522925798829 0.023189846190961202 1.3815264928787007e-14 9.950508343334324e-15 5.3954080825874774e-14 5.553445851699867e-14 1.0025060531059059e-13 1.009762812418001e-13 6.272674229803844e-14 0.02369304935161818 0.06657411955907745 0.07652080027630669 0.07880247392889467 0.0768445525853709 0.03177875077650505 0.024033532082343136
20 8.878549571494078e-14 1.0506209690763811e-13 1.428039660562858e-13 2.450309436359509e-13 2.958156927120533e-13 0.025497817094595296 0.02252573240211603 2.9744653932412584e-14 2.1550038963464383e-14 1.1788710049928615e-13 1.213456567550175e-13 2.190379826834003e-13 2.2062764037987837e-13 1.3890892261100156e-13 0.0218834044900019 0.06609261956821273 0.07613775155064462 0.07888687500430824 0.07787421355992186 0.03204933298824604 0.024216360133545743
21 4.3076282436114675e-14 5.096751062278743e-14 6.913946292957517e-14 1.188413012563866e-13 1.421031017856157e-13 0.02583012939417971 0.021689911341763637 1.4559444604471417e-14 1.054862382441811e-14 5.818328567699426e-14 5.989295856255511e-14 1.0810406330006524e-13 1.0889064390201214e-13 7.068194118720303e-14 0.022748051326926266 0.06643515287409694 0.07621963157398422 0.07889531972906756 0.07813348998930159 0.03212407227064785 0.024284333489782137
22 3.2091230334393466e-14 3.800026020714275e-14 5.1482676906748654e-14 8.878286368364465e-14 1.0540388646564024e-13 0.02632824933565387 0.020567544687870025 1.092586088428163e-14 7.91707325169917e-15 4.4212876572362316e-14 4.5513903306150465e-14 8.2145530118627e-14 8.274462650912853e-14 5.565414609527555e-14 0.023663806906785927 0.06678249763136593 0.07625844716021414 0.07886069489470335 0.07842562718994654 0.032123628315191485 0.024296677885086247
23 3.731509940465514e-14 4.418305841924022e-14 5.980889368211375e-14 1.0342413722874277e-13 1.2150268373209303e-13 0.02692584023238794 0.019161436952835353 1.2772064060645619e-14 9.256691097893371e-15 5.24944812070017e-14 5.404100003231395e-14 9.753080666349842e-14 9.824345029557118e-14 6.893695901531446e-14 0.024632700043779866 0.06712259073527263 0.0762419886433486 0.07876346990636067 0.0787148731836587 0.03205724160208525 0.024260660768952173
24 2.847059339446883e-14 3.370721179636429e-14 4.563554685813784e-14 7.924621257194303e-14 9.145673567088322e-14 0.027580576882400315 0.017477383978512194 9.800644332516721e-15 7.104845504481633e-15 4.0991845502842534e-14 4.2199464626899085e-14 7.615897664290026e-14 7.67161370457865e-14 5.6636617255270563e-14 0.025639306147159823 0.06743904566943863 0.07615714661123824 0.07858644632618954 0.07897030598756945 0.03193506806225491 0.024184156371738787
25 3.327434600901219e-14 3.9434664816002903e-14 5.335386743167674e-14 9.268082711337022e-14 1.0583014575665271e-13 0.028264474092471424 0.015517474803883541 1.1521360346209303e-14 8.354759227594867e-15 4.9070570393798484e-14 5.051648927268093e-14 9.116822608271504e-14 9.18354080369448e-14 7.20602926435087e-14 0.02665325195929106 0.0677093744941301 0.07598796503066735 0.07831269928572372 0.07916327467197554 0.03177094426820522 0.02407748347961942
26 5.591846664687639e-14 6.630105408443306e-14 8.966197017837791e-14 1.5639586297781015e-13 1.766687619454521e-13 0.028808946774166084 0.013717473298394192 1.951945334050698e-14 1.4154176309154791e-14 8.493052761691721e-14 8.743184366978914e-14 1.577935027879058e-13 1.5894734832202286e-13 1.3105150698707512e-13 0.02746580452183444 0.06793763373248163 0.07584466615784982 0.07807615709802107 0.07932962037030356 0.03153771558464594 0.023917554853907026
27 5.798743625984613e-14 6.879664342140619e-14 9.297462794108556e-14 1.6262689174432906e-13 1.819766077949929e-13 0.029286918820789223 0.011798933839040703 2.0421047556908256e-14 1.4807845627414998e-14 9.067705139162332e-14 9.334620995428566e-14 1.6847308879767377e-13 1.6970242247875194e-13 1.4785920207188082e-13 0.028211582640446868 0.06808241959541662 0.07561190697246113 0.07774308997756024 0.07939598244841183 0.031282828867608026 0.02374156597691803
28 7.47764471273609e-14 8.877741016391944e-14 1.1992293367633256e-13 2.1053418723559567e-13 2.331151389792187e-13 0.02981621660758417 0.009567804582563738 2.6547705409786038e-14 1.9255219365347013e-14 1.1985666810792922e-13 1.233768415927002e-13 2.2269414354874896e-13 2.2431320609672482e-13 2.1022173117063438e-13 0.028931744159255937 0.06810145879414468 0.07520963681446217 0.07722649390099202 0.07931150993654201 0.031034008965489232 0.023571622313423395
29 4.7249825939106514e-14 5.611532503464772e-14 7.579524209363688e-14 1.3334057574558038e-13 1.4643047653608943e-13 0.030378899473226532 0.007115266086322591 1.689715987164567e-14 1.226102733352894e-14 7.72865897282803e-14 7.954902786943976e-14 1.4360529591929872e-13 1.446437679851934e-13 1.4777414855687766e-13 0.029561649836109816 0.06799237363867672 0.07466683438472058 0.07656447006334682 0.07908975108480518 0.03079572729690509 0.023410483421942442
