 TML TPD TAP GML GPD GAP EML EPD EAP WML WPD WAP
0 -17.356619291440293 690.2724684152897 138.4376575091135 -155.51248923173512 62.58420099742885 39.09049944223319 -0.41871445455104706 -39.50752337735854 3.9907166588310554 -3.8518289321459918 -12.042195919288726 6.327297195694481
1 -16.952887265921802 690.6871315105438 137.8847239941801 -144.53739731999465 63.07080296106498 43.11704619057523 -1.0051973371157459 -43.95857054826149 1.5564636720232574 -4.972103856789185 -12.150709703457478 6.1798279164443635
2 -17.08883371178528 700.6531591935703 140.61028400093062 -140.24311796489886 67.00649948934822 50.29673460276656 -0.9965984282100582 -50.035372758948476 -1.434704411606536 -7.629524959645726 -14.066846731248017 5.791103234107823
3 -17.614888273525487 712.2004337785168 144.48431197665494 -137.65891681741226 75.65631284404405 55.27890752657465 -4.421559617412948 -59.06759287696825 -3.922037037950148 -10.598503595844953 -21.88131879654263 7.538114766502758
4 -18.26909180711895 719.0580988348188 148.02512777509384 -139.71097336226026 82.07905104861234 58.17150785252858 -5.08985434704932 -61.1586054688978 -4.480102494151593 -11.445066525612994 -24.122650147364652 8.121296868355717
5 -18.946159591879805 727.3101164234623 151.63860349287575 -141.7422964060549 88.04960818545834 60.36370751818439 -5.782737568067541 -62.62664779985207 -4.62687971216191 -12.040792331838773 -25.821037846785295 8.651151327644389
6 -19.422627582839546 736.1004339538321 154.87465430783084 -143.95460881312385 92.94011714551033 60.51580589129399 -6.182763932420226 -62.62479329630233 -3.9667594820905867 -12.114115509511075 -26.191457318650485 8.929218944795892
7 -19.697589940654098 742.6626055967263 157.35696755034812 -144.17774645268656 95.54036952387446 60.39806963022509 -6.631728170432401 -61.489814480915854 -3.347564582519941 -11.879668312510454 -25.89083077330411 9.049050779208127
8 -19.761435597022416 747.8312854830087 159.15343235464204 -144.9088755977442 96.1616176988263 59.88632342438741 -6.923015506188126 -59.38836379526308 -2.6735510869936685 -11.295343798420932 -24.838142881877054 8.958918910473912
9 -19.63092331171645 752.2083257610057 160.34980744162576 -149.514148087991 94.22243862797968 60.443342752963744 -7.174369381850157 -56.793478193742516 -1.8715982714837667 -10.5829708670777 -23.307097191851135 8.741919463490834
10 -19.403904085385008 756.5039068134822 161.40818797916162 -153.2419628897151 91.0462330220297 60.528331356023685 -7.356401572802012 -53.91683632345251 -1.133584979691561 -9.784592404640025 -21.478728769575266 8.404616277269444
11 -19.18806234318014 753.3576475657719 160.7141352708741 -152.69093411272266 83.80025871198119 56.35847877140162 -5.656673272840772 -45.35762076033508 1.1908569102955826 -6.149163854277458 -14.035463981139232 7.459982137487337
12 -19.07893894369633 786.0769047577178 168.49415213365907 -165.80060332559063 98.75655515835655 62.70540760589463 -9.227003410041267 -57.53283025317459 -3.384502696113297 -14.26612545190471 -29.985506449164127 9.543835026834618
13 -18.775010774991358 757.1577704618026 161.30241611303398 -151.0845599957367 74.09878250828226 49.390945410835485 -3.7296195896907793 -35.72417599211134 4.354143703819757 -3.8537980425919858 -12.738252909069896 7.8088723975818874
14 -18.768844842508308 787.391220040736 168.37329098697566 -169.84058790700058 95.63186050498564 59.49051892099789 -9.202982319604285 -51.99333717450918 -2.4653660257528482 -12.78352160460821 -26.70766249668739 8.787537191420759
15 -18.634782736355707 758.1429820268779 161.23005740533168 -151.0747410087459 69.14572090479865 44.188959296668905 -1.6518957383303103 -30.125119825308417 7.527520652551552 -3.5495117857794476 -12.454098595833141 7.374774703291759
16 -18.413637250681248 779.9381014337869 165.8458017404544 -169.50298586713558 91.28204208277901 54.24671741276067 -7.825574324463913 -47.35398932876058 -2.1612616863496354 -11.731579557161577 -24.27013024728923 8.081422040352548
17 -18.252402859691266 753.4303845362012 159.76575168226853 -150.39027450183906 63.67898394156059 39.64982584676085 -0.33209637391026803 -25.84224575962825 8.959708778481577 -3.180577840438595 -11.907324660918153 6.990700709469392
18 -17.68205288658053 765.4953800197216 162.07810052542789 -166.98337107612372 86.72461996594872 48.548325842826124 -6.344877091038509 -43.71875464446443 -1.9580941701255008 -10.696570213762268 -21.753854103998073 7.2840553968630175
19 -17.36864034433809 744.6495853596707 157.0837507844734 -150.50145608474799 58.81246968252392 36.102960713125064 0.12384048858742247 -22.604576383942568 7.135967530054305 -2.881950263767724 -11.317972298034144 6.5680037722985745
20 -16.442154233569614 746.9849024409734 156.58434355625042 -165.97649109977465 83.51541182845102 44.293361038600196 -5.981095658919772 -42.02485384786243 -1.985263135764376 -10.294167270192123 -20.94220735631005 7.052790527400112
21 -16.126503168828833 737.8731531218741 153.54246336688593 -150.2632344582015 54.99877067256117 33.44224081327139 0.22426843399340335 -21.06062539041563 6.217602683493827 -2.647762216145371 -10.845007492727708 6.313357570025796
22 -15.131969965936651 731.8353198560703 150.49924874010773 -166.45187361349778 81.59088660219469 42.03326384113365 -5.544716320291592 -41.49438714971926 -2.015591870595043 -10.237242124916946 -20.751147661302927 7.0203251075161255
23 -14.573904945446026 730.001018797356 148.61665274310315 -155.03589152012574 59.10205703957826 36.48981301897982 -2.11228385303645 -27.051706279466593 5.944059620026208 -2.970762017887619 -9.625079954363123 6.0027167836374
24 -13.845410224513397 724.3186862734508 145.25860391704305 -160.23603572940874 65.68678507401395 37.480372300269984 -3.170382062096813 -30.64457383546643 4.19245742358263 -3.4058435536208513 -9.10456025187022 5.793622737442782
25 -13.017052787575151 721.282570844334 142.6305546173796 -161.46030200104954 68.60750552993709 37.10731471275952 -3.0864977675947554 -31.495171522293646 3.6600288117124737 -3.783564525080825 -9.216408229772652 5.723945462248494
26 -12.429570509772283 719.4200101623087 140.99242554112385 -163.13662540865352 70.75280457340094 36.98267253771391 -3.0728827502475564 -31.93127058666688 3.3113397141681835 -4.0702794805259135 -9.42595177116445 5.750512385265031
27 -12.469051081667272 717.38570263531 140.57437724915363 -165.37804066330685 72.78664379093287 37.16956976107318 -3.10704233805966 -32.354836082247985 2.8726374527367007 -4.44348501676825 -9.694366809881336 5.744883747492079
28 -12.940624821076554 714.6029048928547 140.7376628505788 -167.8467735410235 74.75383580596346 37.576778875712186 -3.140768124136268 -32.80139954738726 2.4657160567501095 -4.7698954087787975 -9.885034352301114 5.726976469742759
29 -12.954741234593438 709.6699096138451 140.56309918335478 -169.92443164419677 76.60737610092393 38.01334950460258 -3.1731599152658188 -33.2855057969837 2.0645958014160715 -5.075746577522663 -10.006176345654296 5.680345767724546
30 -13.044190947130357 703.4401343972987 140.27960504214255 -172.2638930674085 78.47687196326014 38.649469772092445 -3.216070116005252 -33.80274993641583 1.6129201525609513 -5.39228179565708 -10.218359737255556 5.648315484893779
31 -13.12276492862404 696.5849334372466 139.89319583230866 -174.4196221086823 80.33503319644589 39.32878523365627 -3.3084880410477844 -34.29237967684418 0.9906129809962492 -5.792670477554331 -11.023343883526808 5.789152116260709
32 -13.13528816389498 689.7527238009341 139.29386426061473 -176.77747770212054 82.25750433170228 40.136997676892456 -3.3516399088066127 -34.87914549909621 0.7944353719425097 -6.080549284349662 -11.741340547020858 5.925173957470687
33 -13.109683465311317 685.0322032243866 138.79057221051636 -179.3569038830459 84.25333335800846 41.05802588953831 -3.427290713504565 -35.431278626864085 0.4341014333140931 -6.413584427031497 -12.49875686841908 6.0528037981842235
34 -13.066963993451473 679.2582491981901 138.13784458750814 -181.94119267972138 86.2821411278149 42.006937649284716 -3.5369719856792585 -35.966922651977896 -0.029334005595053725 -6.805712120348037 -13.360166202569648 6.191372776353269
35 -12.990671384254313 674.8771594625034 137.58295261022909 -184.4680612092191 88.32633542134029 42.98425867789055 -3.64558693892835 -36.58364927453459 -0.32615772211149086 -7.18080450174017 -14.280625894077373 6.348813530574347
36 -12.881389403946898 669.2668365193483 136.84346339700858 -186.95539779097922 90.39571820276478 44.004858593223155 -3.7608374975615373 -37.308180134665676 -0.49442273817431426 -7.568689404078835 -15.347489978656387 6.542287735471511
37 -12.606363834872392 663.4588876709129 135.66978805147176 -189.90629992102998 92.58949607894016 45.216958715971046 -3.935778325461042 -38.026652311038546 -0.9191612973096781 -8.063824501393022 -16.675030791409213 6.77235945524664
38 -12.406251543399392 657.5527530819113 134.50394167344047 -193.00482949982273 94.8679142701956 46.51515201212748 -4.146259037989502 -38.742102663333974 -1.4320503066555403 -8.594897118660265 -18.09958401463776 7.010669192805809
39 -11.919221783037292 652.1076392971462 133.4818143900732 -196.12166746643027 97.29838147051674 47.87343317637656 -4.330728432513775 -39.49135703055307 -1.6804131339316635 -9.157550025187227 -19.425647307957075 7.247861871806675
40 -11.348800875943144 651.5801093375685 134.50542178190634 -199.61496470876057 99.80914125936849 49.370448643667295 -4.502169226328158 -40.13491951699207 -1.8505873781158453 -9.659683400562262 -20.6849396160579 7.476298375450742
41 -11.347193641814432 659.3432251649526 136.885738224694 -188.20083027228418 91.25868251792537 46.11298106631582 -3.363870540959951 -37.71353696500401 -1.4091902124577853 -7.609493279533279 -17.11725429951489 6.65293916994683
42 -9.849039905867821 651.1684244257576 137.49295985040587 -222.32452445048017 115.10564670897335 57.31872783609721 -6.153757608595212 -43.93906621876057 -2.486632538231972 -12.786862830852819 -27.265312032932698 8.83232754891458
43 -10.117866986443843 662.1345989211891 139.7158008289324 -210.80128886898586 105.99802567093059 54.00034741421952 -4.966815547469138 -41.07895143604209 -2.316128118458428 -10.683200450415503 -23.555346031849652 7.908170218344598
44 -9.56369844764834 665.0908612013999 141.43020044215748 -213.4377923304177 106.87576875022071 54.92079281788562 -5.0035074308682095 -40.73356084918524 -2.3356417821330124 -10.59820912767149 -23.47075665568209 7.818651176625941
45 -9.033132174167317 666.8989840226916 142.96296606796759 -215.17268724638805 107.31478033333674 55.59381413032831 -4.968298305312691 -40.37667723914965 -2.336900905954562 -10.464046717317295 -23.2210091686107 7.6755234084777815
46 -8.66295452566066 668.0486389685218 143.99380991145665 -216.48688074652014 107.37697048479313 56.03707219277093 -4.9002947376350985 -39.886505217787025 -2.271555457437377 -10.235351896204484 -22.697621512186785 7.484534770315719
47 -8.523644919253726 669.1099768504475 144.37032533104215 -217.70525380841048 107.23492124987771 56.35058883691933 -4.838845132082582 -39.29450026072241 -2.1524145629093496 -9.967338508546277 -22.026482901764865 7.284883435549574
48 -8.518129473398263 669.3886509884455 144.38868957387638 -218.7746791278119 106.9583957605387 56.53239407269544 -4.804038567173622 -38.62388407700649 -1.997894796288655 -9.69678514059163 -21.282753337510268 7.090679691689386
49 -8.528626670066194 668.5074480710742 144.1289891415784 -219.53390658115518 106.533139511187 56.55733407370016 -4.807553884775997 -37.88081602629815 -1.8279162096576647 -9.439850446824778 -20.525976204510457 6.911556131639472
50 -8.488699332224602 668.8408339314055 144.01247458918604 -219.2982139576058 105.93494459554591 56.24637328151428 -4.823399334961135 -37.06426345770729 -1.6461265487485193 -9.183548407742599 -19.74027105669381 6.724941762947363
51 -8.27836253443039 666.3200126165248 143.41723892061054 -219.58396799774457 105.63311993703488 56.097222635035834 -4.818922642433273 -36.18561446056933 -1.4476563589378744 -8.91622621124466 -18.896591157658232 6.504419458682029
52 -8.146021410902666 662.9373556486894 142.43261280698107 -220.09673854477492 105.46975869409171 56.01069297266607 -4.85266114693999 -35.30366173902473 -1.26650168757378 -8.677310505728292 -18.10300229998456 6.295315475656807
53 -8.031111530702852 658.9510154464763 141.29993697392797 -221.18472671561878 105.66135208244893 56.08873363322888 -4.938237771409751 -34.4805831100917 -1.101251761335595 -8.490436483532347 -17.397702167045974 6.113562892549929
54 -7.917620978167831 654.9241885276089 140.14893596559904 -223.23951370578922 106.51032131839361 56.481823087826925 -5.094305213637802 -33.87438390786075 -0.8983217425761847 -8.410682700362324 -16.928089014481525 6.022254117375097
55 -7.842521995024761 651.7814183877867 139.15283235473038 -226.66947413654677 108.375181322258 57.36710925073572 -5.347059121105799 -33.662034741341614 -0.7189782821951418 -8.531542882837758 -16.834250021894405 6.038531290564576
56 -7.778239875203428 648.8849132328727 138.33084193769602 -232.08914331807267 111.56116536749126 58.959052255023394 -5.7004778472243025 -33.99129191292305 -0.5670859904645278 -8.894161268736742 -17.175360823066356 6.177554738140292
57 -7.730900234913513 646.1977416925154 137.62994507617498 -239.34269148388316 115.93637877625697 61.177069873391545 -6.112038738582482 -34.88910303170038 -0.324205899754622 -9.435002954354065 -17.819007035735318 6.472951679818333
58 -7.695839824242455 643.5870926550324 136.94614661624075 -247.39747052571707 120.80414679632658 63.64625985670109 -6.5109801991539165 -36.13421699639447 0.07202397809421424 -9.994633099143341 -18.431845153441888 6.850107243235169
59 -7.696035926223772 640.8808146795925 136.00173692968377 -255.4338959027544 125.48151817914892 66.12713484726194 -6.883390620071877 -37.15716476680505 0.20193230408378682 -10.519378348848285 -18.99459309454444 7.173566148558907
60 -7.638441054377134 638.6352360599875 135.1459320137186 -262.02094539494675 129.2559719820324 68.2285977116105 -7.179688390975136 -37.8993882663005 0.2851151597915793 -10.851180263475925 -19.28782721107491 7.365360429092668
61 -7.490449857603256 636.1917344781355 134.5609288082489 -266.2357353734345 131.84964440776957 69.8089765950399 -7.406179343074795 -38.37324802904366 0.30032141253368216 -11.040728408404702 -19.504275074941404 7.460436274992909
62 -5.979716185593421 630.4742393464705 133.16105422242902 -278.2755117234103 138.45998951519135 72.82750823100157 -8.170689145282394 -37.79350366523933 0.5996281714811058 -11.252624328180028 -19.449567376569878 7.571133839867052
63 -7.2983284396524155 641.0464352358181 136.2044835462524 -256.7006568929177 129.3423166768245 69.81728744294527 -6.929161649760253 -40.018796735818455 -0.34703732748351435 -11.233887140796373 -20.706462916272535 7.424132338702037
64 -5.920548619298456 634.6838220364061 135.09421347484425 -265.8851455651534 134.5765754664615 72.62486642652377 -7.691016834477248 -39.57316610272324 0.051937318714845304 -11.455728054954056 -20.944042216246157 7.589624206652237
65 -6.106666944302466 638.4789556590856 136.13080664234084 -265.6689786547744 136.4185845121371 74.00596290769843 -7.816482111475622 -39.98367937538349 -0.07443133970279625 -11.797033430968991 -21.941658596387747 7.731622796363759
66 -6.806388232178618 646.1090661456499 138.0039723221585 -264.32009775846194 137.87708525869053 75.35793861728988 -7.87057119486008 -40.572794492480625 -0.16217497915145263 -12.171794605608568 -23.055091843746858 7.890689745574001
67 -6.780798128942449 654.1790613520878 140.16693712491707 -263.7105278261397 139.59285837717823 77.07875428675688 -7.8944002760158725 -41.262923177747695 -0.2082592058104149 -12.57921522802944 -24.211848820070994 8.058723741293106
68 -6.60895338190517 651.8199875645266 137.53307045591566 -255.5872920467853 142.95743098641077 78.99730354465059 -7.398976476639456 -44.32091639441499 -0.6704658848821552 -13.698810772605544 -27.32263145087111 8.361792220472697
69 -6.8434344658305495 686.2677011160148 149.8669103488159 -269.1075284337439 142.68941466913034 79.39727754663824 -8.60844275316915 -40.343776607596496 0.3467666785457375 -12.742187275905888 -24.338376261213277 8.211627897542376
70 -7.18328013175152 685.3486796253858 148.18005171435777 -256.3679233402291 142.8851863897953 80.42286525742671 -7.543055974861586 -43.822436536110345 -0.41834754689640263 -13.74564814273155 -27.420717439916558 8.368791573594047
71 -7.1485250199944765 697.8041745899003 152.5506022341713 -262.98729817951676 141.0115153603139 79.61926855176267 -8.246408230523016 -40.773462092469046 0.5309127635109769 -12.893750152081136 -24.763925819707865 8.20370604177008
72 -7.2165901692026395 686.6125503557992 146.50190715657175 -252.17043262175523 145.4143576366916 82.2088918264403 -7.516903740627461 -45.45019357274394 -0.5618731368011538 -14.73592826104553 -29.688156279850915 8.631383526249016
