 pectoralis_major_clavicular_part_1 pectoralis_major_clavicular_part_2 pectoralis_major_clavicular_part_3 pectoralis_major_clavicular_part_4 pectoralis_major_clavicular_part_5 biceps_brachii_caput_breve biceps_brachii_caput_longum Triceps_LH_1 Triceps_LH_2 Triceps_ME_1 Triceps_ME_2 Triceps_LA_1 Triceps_LA_2 deltoideus_scapular_part_1 deltoideus_scapular_part_2 deltoideus_scapular_part_3 deltoideus_scapular_part_4 deltoideus_scapular_part_5 deltoideus_scapular_part_6 Brach_rad_1 Brach_rad_2
0 1.041517215003195e-12 1.1657806571974886e-12 1.3930577019274989e-12 1.6415694189263972e-12 1.8867580987925034e-12 2.418580199772721e-12 5.4170466736292446e-11 5.063661794196368e-12 2.71893895162356e-12 3.247485011094883e-11 3.3437234803674636e-11 3.1914593213164965e-11 3.219144293507459e-11 5.997946414692627e-12 13.49001609810262 21.14029062515844 25.247757324467376 23.735891091819635 14.976105073201209 3.6630248167192434 2.833320884885855
1 1.0333123084608812e-12 1.1570120072466796e-12 1.3826790828060283e-12 1.6283802997077816e-12 1.8692925833116803e-12 2.3807260251204612e-12 4.4616580150044734e-11 5.093770807740288e-12 2.7254490932173897e-12 3.239729876648762e-11 3.335913530838263e-11 3.1840055612985466e-11 3.2115382314171105e-11 6.040744474234412e-12 13.609467126415096 21.268104863393162 25.380644557514422 23.82541507663642 14.913883897745357 3.667795347002362 2.8354719234775256
2 2.2269740189902316e-12 2.492924513558754e-12 2.9807858574660226e-12 3.513125402675877e-12 4.044404385436486e-12 5.19065718436364e-12 1.276422009946781e-10 1.0677760753637319e-11 5.739682575519339e-12 7.317692597410531e-11 7.535315553372936e-11 7.192185700174645e-11 7.254184862794364e-11 1.238063280343735e-11 13.685694751565478 21.52337124752367 25.75153731944948 24.244158592383812 15.342989303440506 3.653013652201256 2.831410862216583
3 3.1417559391395126e-12 3.5172732386279196e-12 4.206197901953106e-12 4.956348567834419e-12 5.705920492925969e-12 7.312640322998619e-12 1.6594227912463505e-10 1.5002590703909265e-11 8.07500494409249e-12 1.0262871677981268e-10 1.0568607279971711e-10 1.008736603718226e-10 1.017403692245347e-10 1.7400925706564816e-11 13.736231701962407 21.60759621169757 25.8574817398461 24.345241902559618 15.402373822666025 3.668038799902764 2.8419636488084534
4 8.665176163576335e-13 9.701989940737668e-13 1.1604314781943994e-12 1.3671096924972819e-12 1.573911460982705e-12 2.020542653019154e-12 4.583211540245696e-11 4.127695954804331e-12 2.22276130021446e-12 2.8443252839387712e-11 2.929210231217326e-11 2.7958413077358116e-11 2.8197775555578888e-11 4.778162987785232e-12 13.722784778219316 21.590673120791166 25.84312528783846 24.332235959370735 15.383410101092325 3.65987544897702 2.8369475499295462
5 1.006265616013825e-12 1.1267519153007054e-12 1.3478993758449078e-12 1.587669618089018e-12 1.8280638397867957e-12 2.351311004022453e-12 5.284985956458854e-11 4.768074059719995e-12 2.5713966273580445e-12 3.295537338237014e-11 3.394067889965206e-11 3.239549611326681e-11 3.266961848895658e-11 5.5175113424852406e-12 13.678162294380554 21.531518951380544 25.780065520859544 24.27771817804706 15.355068926562128 3.652554419754752 2.831846514326542
6 3.5956647576381102e-12 4.026466051196111e-12 4.8175110758849326e-12 5.6733923755395674e-12 6.5332977489056735e-12 8.424714463070818e-12 1.8908315765090883e-10 1.693687627390426e-11 9.14972192723866e-12 1.1726308320589365e-10 1.2077554024974243e-10 1.1527763627267513e-10 1.1624897800950599e-10 1.960207622198439e-11 13.612799259448249 21.440790832300284 25.6794002151973 24.1885358185614 15.308211239543061 3.6433148281938665 2.8252896942896633
7 2.083484577783092e-12 2.3332316814559685e-12 2.7920635502207164e-12 3.287514312106102e-12 3.786484193558064e-12 4.898294150811196e-12 1.1083035502625444e-10 9.745886743007337e-12 5.275766199603361e-12 6.753200488440564e-11 6.956155934698926e-11 6.639286090996937e-11 6.694980876712734e-11 1.1285638697405076e-11 13.53474855327225 21.333011097046775 25.559251429501337 24.082765253331456 15.257197791080117 3.6343487834356165 2.8189664318449137
8 2.0095619536670056e-12 2.2505295692791125e-12 2.693531077434888e-12 3.1709949815660244e-12 3.653183054008361e-12 4.743044979652086e-12 1.0905698794770394e-10 9.324955796956048e-12 5.059746447836008e-12 6.465723842128265e-11 6.660376521760513e-11 6.357064328339099e-11 6.410143568866432e-11 1.080529962920534e-11 13.45440401587813 21.225265353087373 25.440482866973213 23.980366114234595 15.21499355628309 3.6271524771645547 2.8140128875864074
9 2.045328570541822e-12 2.290612763553824e-12 2.7419586663636276e-12 3.2276170873341203e-12 3.719740899890757e-12 4.848846073332727e-12 1.1433608916965429e-10 9.400821433515199e-12 5.114864673938706e-12 6.52484494356917e-11 6.721609085938064e-11 6.415604077603747e-11 6.468914580163756e-11 1.0899714322207584e-11 13.378880612481204 21.130932779407075 25.340017544742178 23.898431937618543 15.19556866342012 3.6234860686670443 2.811753039403048
10 2.912400017165498e-12 3.261584096782011e-12 3.904934960432502e-12 4.596295680691382e-12 5.29992841988004e-12 6.939563347408348e-12 1.7003198382080118e-10 1.3228586304327604e-11 7.221357296179342e-12 9.197594902105041e-11 9.475407782661305e-11 9.044179571858796e-11 9.118963654384228e-11 1.5344601839340774e-11 13.311615328784345 21.05878120715423 25.26964710339106 23.84989716751901 15.212484861063967 3.625082920852559 2.813483535209238
11 3.350188856134442e-12 3.751557228638046e-12 4.492398161079903e-12 5.2878894527706165e-12 6.102206653925086e-12 8.031364131252608e-12 2.0883978784509904e-10 1.4987531507275785e-11 8.215590021658565e-12 1.0451505851368283e-10 1.0765107958979646e-10 1.0275369770825087e-10 1.035991508225685e-10 1.7389861405094523e-11 13.252127039872027 21.012521062842417 25.235452337596858 23.842935556383104 15.278289884041117 3.633531154521345 2.8203853940849894
12 3.3532695715657748e-12 3.754413271090247e-12 4.496742288242175e-12 5.2937228654922485e-12 6.115910480167824e-12 8.099903298692037e-12 2.314710969191606e-10 1.4707385584910872e-11 8.104815833221604e-12 1.0295671563794271e-10 1.0605080333342891e-10 1.0122817229256696e-10 1.0205699787017707e-10 1.706802749105618e-11 13.196489239002494 20.991274043617192 25.238244074424088 23.88118271688846 15.403914911511709 3.650123396354329 2.8334142999689864
13 3.1409879294041353e-12 3.5158321337346504e-12 4.2119489107172935e-12 4.959837605677755e-12 5.739273079096366e-12 7.661254655605927e-12 2.5544425433270335e-10 1.3428434019733182e-11 7.449817247196331e-12 9.448020389984511e-11 9.732367035707219e-11 9.289977093480767e-11 9.365677319075083e-11 1.5586833076351587e-11 13.138178896562035 20.990533128438795 25.27455325003192 23.964400498363084 15.598046967756272 3.6757098390806853 2.8531943873242063
