 pectoralis_major_clavicular_part_1 pectoralis_major_clavicular_part_2 pectoralis_major_clavicular_part_3 pectoralis_major_clavicular_part_4 pectoralis_major_clavicular_part_5 biceps_brachii_caput_breve biceps_brachii_caput_longum Triceps_LH_1 Triceps_LH_2 Triceps_ME_1 Triceps_ME_2 Triceps_LA_1 Triceps_LA_2 deltoideus_scapular_part_1 deltoideus_scapular_part_2 deltoideus_scapular_part_3 deltoideus_scapular_part_4 deltoideus_scapular_part_5 deltoideus_scapular_part_6 Brach_rad_1 Brach_rad_2
0 8.274261781949682e-13 9.080130449933832e-13 1.0569271734422374e-12 9.756307670554353e-13 1.3773933638744268e-12 1.2869098495162542e-12 4.545521897842639e-12 2.5367248404532417e-11 5.04529870469636e-12 3.141079660151602e-11 3.2133723270519674e-11 3.109639702275388e-11 3.15069823573485e-11 1.2759638345509885 26.54565524175046 33.11923570986976 36.74937612603906 27.442964408185627 4.8916068971596635e-12 4.287986893249432 3.2625254995888184
1 1.2630196269101052e-12 1.3975016793377933e-12 1.6485412609963883e-12 1.5470355290504885e-12 2.2066119497976917e-12 2.0933408153116533e-12 1.0909431678265262e-11 8.714057617560033e-12 3.930571035048144e-12 3.004632430241062e-11 3.074975401798827e-11 2.97342599176666e-11 3.0126031488060446e-11 8.691200904162878e-12 21.22638554329398 29.008307204613523 33.92563129510925 28.438505189388792 1.8922539634411838e-11 4.6586232470252495 3.5361272462169144
2 1.187161819303332e-12 1.3185931152965524e-12 1.5647765041075288e-12 1.4867905238342207e-12 2.1216527984134966e-12 2.032064158889826e-12 1.4031725394903821e-11 5.96899243486118e-12 3.0086742110358216e-12 2.1525341683341825e-11 2.2027561227689494e-11 2.130784478755792e-11 2.1569754617698932e-11 5.779013682652017e-12 18.98541587476009 27.117166493390236 32.31592924378029 28.13393843688657 7.163421074464614e-11 4.920329803713578 3.726787619096709
3 4.800727041888472e-12 5.355941860510445e-12 6.397293039715727e-12 6.146759964389221e-12 8.787868399541711e-12 8.513468475717165e-12 1.0389668647031571e-10 1.8499297607202684e-11 1.0152866263253014e-11 5.871535975954603e-11 6.007212911641492e-11 5.810193877639811e-11 5.880725796775845e-11 1.8575164192054968e-11 16.343772560343037 24.2404465554695 29.31394774963116 26.179515311556777 6.450437022462155 5.274834459026618 3.9857299170154104
4 5.218955913213848e-12 5.837700064045573e-12 6.997993715000235e-12 6.792298160741211e-12 9.684584813719754e-12 9.368200133501746e-12 1.8994927623480891e-10 1.8095842139977143e-11 1.0232886426784482e-11 5.396532263400613e-11 5.519275210970386e-11 5.338276343492606e-11 5.4019976300097575e-11 1.8642663717807204e-11 15.214091236618923 22.947718625021945 27.883532600274787 25.1736765246224 8.371617926648645 5.377009838181005 4.059048791919391
5 1.8181493990872778e-12 2.0431246254254004e-12 2.4652890760400344e-12 2.418059952528122e-12 3.4511205191642233e-12 3.3167875124384993e-12 2.4227722786850386e-09 5.455084380734977e-12 3.1932597469875547e-12 1.5616759021997324e-11 1.596506276889566e-11 1.5442700304004836e-11 1.5623080709877245e-11 5.7335891175611065e-12 13.977157655455025 21.647373786882056 26.51293575211686 24.300026579925984 10.19459958639152 5.47974398366768 4.133599367761952
6 2.0466006622876793e-12 2.3073989954900084e-12 2.7963621162877025e-12 2.772935601894432e-12 3.944315909634478e-12 3.693410909793156e-12 2.099321601865719 5.7324017958580315e-12 3.3994116906656914e-12 1.63359910746113e-11 1.6706733857895807e-11 1.6162971112785684e-11 1.6346046051675597e-11 6.048205281286992e-12 13.160002774502024 20.71925312339094 25.4707186205071 23.56030628816221 11.005472077648408 5.356908971277992 4.032234249663059
7 6.4618786165779474e-12 7.295584887567176e-12 8.855151468555023e-12 8.898200049622173e-12 1.253353946817835e-11 1.1798556395073399e-11 3.2737039239969983 1.7320151514458757e-11 1.0383671084919675e-11 4.900112870732145e-11 5.013804022695125e-11 4.8494360232830064e-11 4.901945230125771e-11 1.839392665356138e-11 12.48586317952862 19.940841251623507 24.582036722080574 22.91491312255549 11.554225665055014 5.263478723442328 3.9577851129618735
8 7.063318611767819e-12 8.01418794137456e-12 9.789222199576951e-12 1.0003759398968323e-11 1.3978889358229625e-11 1.3420433602508986e-11 5.129125410396218 1.6439163943603045e-11 1.0171450697026715e-11 4.590395167039225e-11 4.6989749026912426e-11 4.5473213471799296e-11 4.5908622015441703e-11 1.7724356325935575e-11 10.987150986410482 18.28313611067356 22.780127296224464 21.62175110697278 12.376682141293113 5.146937555829214 3.8627286747627125
9 6.834070757847844e-12 7.705574025334732e-12 9.325324292274433e-12 9.608752990747468e-12 1.3175288386523141e-11 1.2431944784493776e-11 2.487476458911813 1.927695297362562e-11 1.1456334592109681e-11 5.3238861051305345e-11 5.4519040554354964e-11 5.28052691696358e-11 5.3228516077299714e-11 2.081187082835861e-11 12.377951201017845 19.615865005557527 24.025601931110682 22.372232083807138 11.48733553122663 5.116066103709047 3.8468538796772207
